target_species,target_species_c,cospecies_scientific_name,cospecies_family,cospecies_acronym,cospecies_nativity,cospecies_c,cospecies_w,cospecies_physiognomy,cospecies_duration,cospecies_common_name
Symphyotrichum lateriflorum,4,Allium canadense,Liliaceae,ALLCAN,native,3,1,forb,perennial,meadow garlic
Symphyotrichum lateriflorum,4,Allium cernuum,Liliaceae,ALLCER,native,7,1,forb,perennial,nodding onion
Symphyotrichum lateriflorum,4,Allium tuberosum,Liliaceae,ALLTUB,non-native,0,2,forb,perennial,chinese chives
Symphyotrichum lateriflorum,4,Alopecurus carolinianus,Poaceae,ALOCAR,native,0,-1,grass,annual,tufted meadow-foxtail
Symphyotrichum lateriflorum,4,Amaranthus albus,Amaranthaceae,AMAALB,non-native,0,1,forb,annual,tumbleweed
Symphyotrichum lateriflorum,4,Ambrosia artemisiifolia,Asteraceae,AMBART,native,0,1,forb,annual,annual ragweed
Symphyotrichum lateriflorum,4,Ambrosia trifida,Asteraceae,AMBTRI,native,0,0,forb,annual,great ragweed
Symphyotrichum lateriflorum,4,Amorpha canescens,Fabaceae,AMOCAN,native,10,2,shrub,perennial,leadplant
Symphyotrichum lateriflorum,4,Amphicarpaea bracteata,Fabaceae,AMPBRA,native,5,0,vine,annual,american hog-peanut
Symphyotrichum lateriflorum,4,Andropogon gerardii,Poaceae,ANDGER,native,5,0,grass,perennial,big bluestem
Symphyotrichum lateriflorum,4,Anemone canadensis,Ranunculaceae,ANECAN,native,4,-1,forb,perennial,round-leaf thimbleweed
Symphyotrichum lateriflorum,4,Anemone cylindrica,Ranunculaceae,ANECYL,native,8,2,forb,perennial,thimbleweed
Symphyotrichum lateriflorum,4,Anemone quinquefolia,Ranunculaceae,ANEQUI,native,7,0,forb,perennial,nightcaps
Symphyotrichum lateriflorum,4,Anemone virginiana,Ranunculaceae,ANEVIR,native,5,1,forb,perennial,tall thimbleweed
Symphyotrichum lateriflorum,4,Angelica atropurpurea,Apiaceae,ANGATR,native,7,-2,forb,perennial,purple-stem angelica
Symphyotrichum lateriflorum,4,Antennaria neglecta,Asteraceae,ANTNEG,native,3,2,forb,perennial,cats-foot
Symphyotrichum lateriflorum,4,Antennaria plantaginifolia,Asteraceae,ANTPLA,native,4,2,forb,perennial,pussy-toes
Symphyotrichum lateriflorum,4,Anthoxanthum hirtum,Poaceae,HIEODO,native,10,2,grass,perennial,sweet grass
Symphyotrichum lateriflorum,4,Apios americana,Fabaceae,APIAME,native,5,-1,forb,perennial,groundnut
Symphyotrichum lateriflorum,4,Apocynum cannabinum,Apocynaceae,APOCAN,native,2,0,forb,perennial,indian-hemp
Symphyotrichum lateriflorum,4,Aquilegia canadensis,Ranunculaceae,AQUCAN,native,6,1,forb,perennial,red columbine
Symphyotrichum lateriflorum,4,Arctium minus,Asteraceae,ARCMIN,non-native,0,1,forb,biennial,lesser burrdock
Symphyotrichum lateriflorum,4,Arisaema triphyllum,Araceae,ARITRI,native,5,-1,forb,perennial,jack-in-the-pulpit
Symphyotrichum lateriflorum,4,Aristida intermedia,Poaceae,ARIINT,native,5,2,grass,annual,false arrow-feather three-awn
Symphyotrichum lateriflorum,4,Arnoglossum atriplicifolium,Asteraceae,ARNATR,native,8,2,forb,perennial,indian-plantain
Symphyotrichum lateriflorum,4,Asarum canadense,Aristolochiaceae,ASACAN,native,10,1,forb,perennial,canadian wild ginger
Symphyotrichum lateriflorum,4,Asclepias incarnata,Asclepiadaceae,ASCINC,native,3,-2,forb,perennial,swamp milkweed
Symphyotrichum lateriflorum,4,Asclepias syriaca,Asclepiadaceae,ASCSYR,native,0,1,forb,perennial,common milkweed
Symphyotrichum lateriflorum,4,Asclepias verticillata,Asclepiadaceae,ASCVER,native,1,1,forb,perennial,whorled milkweed
Symphyotrichum lateriflorum,4,Asparagus officinalis,Liliaceae,ASPOFF,non-native,0,1,forb,perennial,asparagus
Symphyotrichum lateriflorum,4,Athyrium filix-femina ssp. angustum,Dryopteridaceae,ATHFIL,native,8,0,fern,perennial,subarctic lady fern
Symphyotrichum lateriflorum,4,Avena sativa,Poaceae,AVESAT,non-native,0,2,grass,annual,oats
Symphyotrichum lateriflorum,4,Baptisia alba var. macrophylla,Fabaceae,BAPALB,native,8,1,forb,perennial,white wild indigo
Symphyotrichum lateriflorum,4,Baptisia australis,Fabaceae,BAPAUS,non-native,0,1,forb,perennial,blue wild indigo
Symphyotrichum lateriflorum,4,Barbarea vulgaris,Brassicaceae,BARVUL,non-native,0,0,forb,biennial,garden yellow-rocket
Symphyotrichum lateriflorum,4,Berberis thunbergii,Berberidaceae,BERTHU,non-native,0,1,shrub,perennial,japanese barberry
Symphyotrichum lateriflorum,4,Bidens cernua,Asteraceae,BIDCER,native,3,-2,forb,annual,nodding burr-marigold
Symphyotrichum lateriflorum,4,Bidens trichosperma,Asteraceae,BIDCOR,native,9,-2,forb,annual,crowned beggarticks
Symphyotrichum lateriflorum,4,Bidens tripartita,Asteraceae,BIDCOM,native,3,-2,forb,annual,three-lobe beggarticks
Symphyotrichum lateriflorum,4,Bidens vulgata,Asteraceae,BIDVUL,native,0,-1,forb,annual,three-lobe beggarticks
Symphyotrichum lateriflorum,4,Boehmeria cylindrica,Urticaceae,BOECYL,native,5,-2,forb,perennial,small-spike false nettle
Symphyotrichum lateriflorum,4,Botrypus virginianus,Ophioglossaceae,BOTVIR,native,5,1,fern,perennial,rattlesnake fern
Symphyotrichum lateriflorum,4,Bouteloua curtipendula,Poaceae,BOUCUR,native,8,2,grass,perennial,side-oats grama
Symphyotrichum lateriflorum,4,Brassica nigra,Brassicaceae,BRANIG,non-native,0,2,forb,annual,black mustard
Symphyotrichum lateriflorum,4,Bromus ciliatus,Poaceae,BROCIL,native,10,-1,grass,perennial,fringed brome
Symphyotrichum lateriflorum,4,Bromus inermis,Poaceae,BROINE,non-native,0,1,grass,perennial,smooth brome
Symphyotrichum lateriflorum,4,Bromus kalmii,Poaceae,BROKAL,native,10,0,grass,perennial,kalms brome
Symphyotrichum lateriflorum,4,Bromus pubescens,Poaceae,BROPUB,native,5,1,grass,perennial,hairy woodland brome
Symphyotrichum lateriflorum,4,Bromus tectorum,Poaceae,BROTEC,non-native,0,2,grass,annual,downy chess
Symphyotrichum lateriflorum,4,Calamagrostis canadensis,Poaceae,CALCAN,native,6,-2,grass,perennial,bluejoint
Symphyotrichum lateriflorum,4,Caltha palustris,Ranunculaceae,CALPAL,native,8,-2,forb,perennial,yellow marsh-marigold
Symphyotrichum lateriflorum,4,Calystegia sepium,Convolvulaceae,CALSEP,native,1,0,forb,perennial,hedge false bindweed
Symphyotrichum lateriflorum,4,Camassia scilloides,Liliaceae,CAMSCI,native,7,0,forb,perennial,atlantic camas
Symphyotrichum lateriflorum,4,Campanula aparinoides,Campanulaceae,CAMAPA,native,9,-2,forb,perennial,marsh bellflower
Symphyotrichum lateriflorum,4,Campanula rapunculoides,Campanulaceae,CAMRAP,non-native,0,2,forb,perennial,european bellflower
Symphyotrichum lateriflorum,4,Campanulastrum americanum,Campanulaceae,CAMAME,native,4,0,forb,annual,american-bellflower
Symphyotrichum lateriflorum,4,Capsella bursa-pastoris,Brassicaceae,CAPBUR,non-native,0,1,forb,annual,shepherds-purse
Symphyotrichum lateriflorum,4,Cardamine bulbosa,Brassicaceae,CARBUL,native,7,-2,forb,perennial,bulbous bittercress
Symphyotrichum lateriflorum,4,Cardamine concatenata,Brassicaceae,CARCON,native,5,1,forb,perennial,cut-leaf toothwort
Symphyotrichum lateriflorum,4,Carex annectens,Cyperaceae,CXANNE,native,3,-1,sedge,perennial,yellow-fruit sedge
Symphyotrichum lateriflorum,4,Carex bebbii,Cyperaceae,CXBEBB,native,8,-2,sedge,perennial,bebbs sedge
Symphyotrichum lateriflorum,4,Carex bicknellii,Cyperaceae,CXBICK,native,8,1,sedge,perennial,bicknells sedge
Symphyotrichum lateriflorum,4,Carex blanda,Cyperaceae,CXBLAN,native,1,0,sedge,perennial,eastern woodland sedge
Symphyotrichum lateriflorum,4,Carex bushii,Cyperaceae,CXBUSH,non-native,0,0,sedge,perennial,bushs sedge
Symphyotrichum lateriflorum,4,Carex buxbaumii,Cyperaceae,CXBUXB,native,10,-2,sedge,perennial,brown bog sedge
Symphyotrichum lateriflorum,4,Carex cephalophora,Cyperaceae,CXCEPH,native,5,1,sedge,perennial,oval-leaf sedge
Symphyotrichum lateriflorum,4,Carex comosa,Cyperaceae,CXCOMO,native,5,-2,sedge,perennial,bearded sedge
Symphyotrichum lateriflorum,4,Carex cristatella,Cyperaceae,CXCRIS,native,4,-1,sedge,perennial,crested sedge
Symphyotrichum lateriflorum,4,Carex crus-corvi,Cyperaceae,CXCRUS,native,10,-2,sedge,perennial,raven-foot sedge
Symphyotrichum lateriflorum,4,Carex granularis,Cyperaceae,CXGRAN,native,3,-1,sedge,perennial,limestone-meadow sedge
Symphyotrichum lateriflorum,4,Carex grayi,Cyperaceae,CXGRAY,native,7,-1,sedge,perennial,grays sedge
Symphyotrichum lateriflorum,4,Carex grisea,Cyperaceae,CXGRIS,native,3,0,sedge,perennial,inflated narrow-leaf sedge
Symphyotrichum lateriflorum,4,Carex hirsutella,Cyperaceae,CXHIRS,native,5,2,sedge,perennial,hairy-leaf sedge
Symphyotrichum lateriflorum,4,Carex hystericina,Cyperaceae,CXHYST,native,7,-2,sedge,perennial,porcupine sedge
Symphyotrichum lateriflorum,4,Carex interior,Cyperaceae,CXINTE,native,10,-2,sedge,perennial,inland sedge
Symphyotrichum lateriflorum,4,Carex lacustris,Cyperaceae,CXLACU,native,5,-2,sedge,perennial,lakebank sedge
Symphyotrichum lateriflorum,4,Carex lasiocarpa var. americana,Cyperaceae,CXLASI,native,10,-2,sedge,perennial,woolly-fruit sedge
Symphyotrichum lateriflorum,4,Carex lupulina,Cyperaceae,CXLUPN,native,6,-2,sedge,perennial,hop sedge
Symphyotrichum lateriflorum,4,Carex meadii,Cyperaceae,CXMEAD,native,10,-1,sedge,perennial,montana sedge
Symphyotrichum lateriflorum,4,Carex pellita,Cyperaceae,CXPELL,native,4,-2,sedge,perennial,woolly sedge
Symphyotrichum lateriflorum,4,Carex pensylvanica,Cyperaceae,CXPENS,native,5,2,sedge,perennial,pennsylvania sedge
Symphyotrichum lateriflorum,4,Carex rosea,Cyperaceae,CXROSE,native,5,2,sedge,perennial,rosy sedge
Symphyotrichum lateriflorum,4,Carex sartwellii,Cyperaceae,CXSART,native,8,-1,sedge,perennial,sartwells sedge
Symphyotrichum lateriflorum,4,Carex scoparia,Cyperaceae,CXSCOP,native,5,-1,sedge,perennial,pointed broom sedge
Symphyotrichum lateriflorum,4,Carex sparganioides,Cyperaceae,CXSPAR,native,5,0,sedge,perennial,burr-reed sedge
Symphyotrichum lateriflorum,4,Carex sterilis,Cyperaceae,CXSTER,native,10,-2,sedge,perennial,dioecious sedge
Symphyotrichum lateriflorum,4,Carex stipata,Cyperaceae,CXSTIP,native,4,-2,sedge,perennial,stalk-grain sedge
Symphyotrichum lateriflorum,4,Carex stricta,Cyperaceae,CXSTRI,native,5,-2,sedge,perennial,uptight sedge
Symphyotrichum lateriflorum,4,Carex vulpinoidea,Cyperaceae,CXVULP,native,2,-1,sedge,perennial,common fox sedge
Symphyotrichum lateriflorum,4,Carya cordiformis,Juglandaceae,CARCOR,native,5,1,tree,perennial,bitter-nut hickory
Symphyotrichum lateriflorum,4,Carya ovata,Juglandaceae,CAROVT,native,5,1,tree,perennial,shag-bark hickory
Symphyotrichum lateriflorum,4,Catalpa speciosa,Bignoniaceae,CATSPE,non-native,0,1,tree,perennial,northern catalpa
Symphyotrichum lateriflorum,4,Caulophyllum thalictroides,Berberidaceae,CAUTHA,native,8,2,forb,perennial,blue cohosh
Symphyotrichum lateriflorum,4,Ceanothus americanus,Rhamnaceae,CEAAME,native,6,2,shrub,perennial,new jersey tea
Symphyotrichum lateriflorum,4,Celastrus orbiculatus,Celastraceae,CELORB,non-native,0,2,vine,perennial,asian bittersweet
Symphyotrichum lateriflorum,4,Celtis occidentalis,Ulmaceae,CELOCC,native,2,0,tree,perennial,common hackberry
Symphyotrichum lateriflorum,4,Cerastium arvense,Caryophyllaceae,CERARV,non-native,0,1,forb,perennial,field mouse-ear chickweed
Symphyotrichum lateriflorum,4,Chamaecrista fasciculata,Fabaceae,CASFAS,native,4,1,forb,annual,sleepingplant
Symphyotrichum lateriflorum,4,Chelone glabra,Scrophulariaceae,CHEGLA,native,8,-2,forb,perennial,white turtlehead
Symphyotrichum lateriflorum,4,Chenopodium album,Chenopodiaceae,CHEALB,non-native,0,1,forb,annual,lambs-quarters
Symphyotrichum lateriflorum,4,Cichorium intybus,Asteraceae,CICINT,non-native,0,1,forb,perennial,chicory
Symphyotrichum lateriflorum,4,Cicuta bulbifera,Apiaceae,CICBUL,native,8,-2,forb,perennial,bulblet-bearing water-hemlock
Symphyotrichum lateriflorum,4,Cicuta maculata,Apiaceae,CICMAC,native,6,-2,forb,perennial,spotted water-hemlock
Symphyotrichum lateriflorum,4,Cinna arundinacea,Poaceae,CINARU,native,5,-1,grass,perennial,sweet wood-reed
Symphyotrichum lateriflorum,4,Circaea canadensis,Onagraceae,CIRCAN,native,3,1,forb,perennial,broad-leaf enchanters-nightshade
Symphyotrichum lateriflorum,4,Cirsium altissimum,Asteraceae,CIRALT,native,6,2,forb,biennial,tall thistle
Symphyotrichum lateriflorum,4,Cirsium arvense,Asteraceae,CIRARV,non-native,0,1,forb,perennial,canadian thistle
Symphyotrichum lateriflorum,4,Cirsium discolor,Asteraceae,CIRDIS,native,3,1,forb,biennial,field thistle
Symphyotrichum lateriflorum,4,Cirsium muticum,Asteraceae,CIRMUT,native,9,-2,forb,biennial,swamp thistle
Symphyotrichum lateriflorum,4,Cirsium vulgare,Asteraceae,CIRVUL,non-native,0,1,forb,biennial,bull thistle
Symphyotrichum lateriflorum,4,Claytonia virginica,Portulacaceae,CLAVIR,native,4,1,forb,perennial,virginia springbeauty
Symphyotrichum lateriflorum,4,Comarum palustre,Rosaceae,COMPAL,native,10,-2,forb,perennial,purple marshlocks
Symphyotrichum lateriflorum,4,Convallaria majalis,Liliaceae,CONMAJ,non-native,0,2,forb,perennial,lily-of-the-valley
Symphyotrichum lateriflorum,4,Convolvulus arvensis,Convolvulaceae,CONARV,non-native,0,2,forb,perennial,field bindweed
Symphyotrichum lateriflorum,4,Coreopsis lanceolata,Asteraceae,CORLAN,native,8,1,forb,perennial,lance-leaf tickseed
Symphyotrichum lateriflorum,4,Coreopsis palmata,Asteraceae,CORPAL,native,10,2,forb,perennial,prairie tickseed
Symphyotrichum lateriflorum,4,Coreopsis tripteris,Asteraceae,CORTRI,native,5,0,forb,perennial,tall tickseed
Symphyotrichum lateriflorum,4,Cornus obliqua,Cornaceae,COROBL,native,5,-1,shrub,perennial,pale dogwood
Symphyotrichum lateriflorum,4,Cornus racemosa,Cornaceae,CORRAC,native,1,0,shrub,perennial,gray dogwood
Symphyotrichum lateriflorum,4,Corylus americana,Betulaceae,CORAME,native,5,1,shrub,perennial,american hazelnut
Symphyotrichum lateriflorum,4,Crataegus crus-galli,Rosaceae,CRACRU,native,3,0,tree,perennial,cock-spur hawthorn
Symphyotrichum lateriflorum,4,Crataegus phaenopyrum,Rosaceae,CRAPHA,non-native,0,0,tree,perennial,washington hawthorn
Symphyotrichum lateriflorum,4,Cuscuta glomerata,Cuscutaceae,CUSGLO,native,7,2,vine,annual,rope dodder
Symphyotrichum lateriflorum,4,Cyperus erythrorhizos,Cyperaceae,CYPERY,native,2,-2,sedge,annual,red-root flat sedge
Symphyotrichum lateriflorum,4,Cyperus esculentus,Cyperaceae,CYPESC,native,0,-1,sedge,perennial,chufa
Symphyotrichum lateriflorum,4,Dactylis glomerata,Poaceae,DACGLO,non-native,0,1,grass,perennial,orchard grass
Symphyotrichum lateriflorum,4,Dalea candida,Fabaceae,DALCAN,native,10,2,forb,perennial,white prairie-clover
Symphyotrichum lateriflorum,4,Dalea purpurea,Fabaceae,DALPUR,native,9,2,forb,perennial,purple prairie-clover
Symphyotrichum lateriflorum,4,Danthonia spicata,Poaceae,DANSPI,native,3,2,grass,perennial,poverty oat grass
Symphyotrichum lateriflorum,4,Dasistoma macrophylla,Scrophulariaceae,DASMAC,native,8,1,forb,perennial,mullein-foxglove
Symphyotrichum lateriflorum,4,Daucus carota,Apiaceae,DAUCAR,non-native,0,2,forb,biennial,queen annes lace
Symphyotrichum lateriflorum,4,Desmanthus illinoensis,Fabaceae,DESILI,native,3,1,forb,perennial,prairie bundle-flower
Symphyotrichum lateriflorum,4,Desmodium canadense,Fabaceae,DESCAA,native,4,1,forb,perennial,showy tick-trefoil
Symphyotrichum lateriflorum,4,Desmodium glutinosum,Fabaceae,DESGLU,native,5,2,forb,perennial,pointed tick-trefoil
Symphyotrichum lateriflorum,4,Desmodium illinoense,Fabaceae,DESILL,native,9,2,forb,perennial,illinois tick-trefoil
Symphyotrichum lateriflorum,4,Desmodium paniculatum,Fabaceae,DESPAN,native,6,1,forb,perennial,panicled-leaf tick-trefoil
Symphyotrichum lateriflorum,4,Diarrhena americana,Poaceae,DIAAME,native,10,2,grass,perennial,american beakgrass
Symphyotrichum lateriflorum,4,Dichanthelium latifolium,Poaceae,DICLAT,native,8,1,grass,perennial,broad-leaf rosette grass
Symphyotrichum lateriflorum,4,Dioscorea villosa,Dioscoreaceae,DIOVIL,native,5,0,vine,perennial,wild yam
Symphyotrichum lateriflorum,4,Dipsacus laciniatus,Dipsacaceae,DIPLAC,non-native,0,2,forb,biennial,cut-leaf teasel
Symphyotrichum lateriflorum,4,Dodecatheon meadia,Primulaceae,DODMEA,native,6,1,forb,perennial,pride-of-ohio
Symphyotrichum lateriflorum,4,Doellingeria umbellata,Asteraceae,ASTUMB,native,8,-1,forb,perennial,parasol white-top
Symphyotrichum lateriflorum,4,Drymocallis arguta,Rosaceae,DRYARG,native,10,1,forb,perennial,prairie cinquefoil
Symphyotrichum lateriflorum,4,Dryopteris cristata,Dryopteridaceae,DRYCRI,native,10,-2,fern,perennial,crested wood fern
Symphyotrichum lateriflorum,4,Echinacea pallida,Asteraceae,ECHPAL,native,10,2,forb,perennial,pale conefower
Symphyotrichum lateriflorum,4,Echinacea purpurea,Asteraceae,ECHPUR,native,10,2,forb,perennial,purple conefower
Symphyotrichum lateriflorum,4,Echinochloa crus-galli,Poaceae,ECHCRU,native,0,-1,grass,annual,large barnyard grass
Symphyotrichum lateriflorum,4,Elaeagnus umbellata,Elaeagnaceae,ELAUMB,non-native,0,2,shrub,perennial,autumn-olive
Symphyotrichum lateriflorum,4,Eleocharis elliptica,Cyperaceae,ELEELL,native,10,-2,sedge,perennial,elliptic spike-rush
Symphyotrichum lateriflorum,4,Eleocharis palustris,Cyperaceae,ELEERY,native,1,-2,sedge,perennial,common spike-rush
Symphyotrichum lateriflorum,4,Ellisia nyctelea,Hydrophyllaceae,ELLNYC,native,2,0,forb,annual,aunt lucy
Symphyotrichum lateriflorum,4,Elymus canadensis,Poaceae,ELYCAN,native,4,1,grass,perennial,nodding wild rye
Symphyotrichum lateriflorum,4,Elymus repens,Poaceae,AGRREP,non-native,0,1,grass,perennial,creeping wild rye
Symphyotrichum lateriflorum,4,Elymus riparius,Poaceae,ELYRIP,native,5,-1,grass,perennial,river-bank wild rye
Symphyotrichum lateriflorum,4,Elymus villosus,Poaceae,ELYVIL,native,5,1,grass,perennial,hairy wild rye
Symphyotrichum lateriflorum,4,Epilobium coloratum,Onagraceae,EPICOL,native,3,-2,forb,perennial,purple-leaf willowherb
Symphyotrichum lateriflorum,4,Epilobium leptophyllum,Onagraceae,EPILEP,native,10,-2,forb,perennial,bog willowherb
Symphyotrichum lateriflorum,4,Epipactis helleborine,Orchidaceae,EPIHEL,non-native,0,1,forb,perennial,helleborine
Symphyotrichum lateriflorum,4,Equisetum arvense,Equisetaceae,EQUARV,native,0,0,fern,perennial,field horsetail
Symphyotrichum lateriflorum,4,Erigeron philadelphicus,Asteraceae,ERIPHI,native,4,-1,forb,perennial,philadelphia fleabane
Symphyotrichum lateriflorum,4,Erigeron strigosus,Asteraceae,ERISTR,native,5,1,forb,annual,prairie fleabane
Symphyotrichum lateriflorum,4,Eriogonum annuum,Polygonaceae,ERIANM,non-native,0,2,forb,annual,annual wild buckwheat
Symphyotrichum lateriflorum,4,Eryngium yuccifolium,Apiaceae,ERYYUC,native,9,0,forb,perennial,button eryngo
Symphyotrichum lateriflorum,4,Erythronium albidum,Liliaceae,ERYALB,native,5,1,forb,perennial,small white fawn-lily
Symphyotrichum lateriflorum,4,Eupatorium perfoliatum,Asteraceae,EUPPER,native,4,-2,forb,perennial,common boneset
Symphyotrichum lateriflorum,4,Eupatorium serotinum,Asteraceae,EUPSER,native,0,0,forb,perennial,late-flowering thoroughwort
Symphyotrichum lateriflorum,4,Euphorbia corollata,Euphorbiaceae,EUPCOR,native,4,2,forb,perennial,flowering spurge
Symphyotrichum lateriflorum,4,Eurybia furcata,Asteraceae,ASTFUR,native,10,2,forb,perennial,forked aster
Symphyotrichum lateriflorum,4,Euthamia graminifolia,Asteraceae,EUTGRA,native,4,-1,forb,perennial,flat-top goldentop
Symphyotrichum lateriflorum,4,Eutrochium maculatum,Asteraceae,EUPMAC,native,5,-2,forb,perennial,spotted trumpetweed
Symphyotrichum lateriflorum,4,Eutrochium purpureum,Asteraceae,EUPPUR,native,6,0,forb,perennial,sweet-scented joe-pye-weed
Symphyotrichum lateriflorum,4,Festuca subverticillata,Poaceae,FESOBT,native,5,1,grass,perennial,nodding fescue
Symphyotrichum lateriflorum,4,Filipendula rubra,Rosaceae,FILRUB,native,10,-2,forb,perennial,queen-of-the-prairie
Symphyotrichum lateriflorum,4,Fragaria virginiana,Rosaceae,FRAVIR,native,0,1,forb,perennial,virginia strawberry
Symphyotrichum lateriflorum,4,Frangula alnus,Rhamnaceae,FRAALN,non-native,0,-1,shrub,perennial,glossy false buckthorn
Symphyotrichum lateriflorum,4,Fraxinus pennsylvanica,Oleaceae,FRAPEN,native,4,-1,tree,perennial,green ash
Symphyotrichum lateriflorum,4,Galinsoga quadriradiata,Asteraceae,GALCIL,non-native,0,1,forb,annual,shaggy-soldier
Symphyotrichum lateriflorum,4,Galium aparine,Rubiaceae,GALAPA,native,0,1,forb,annual,sticky-willy
Symphyotrichum lateriflorum,4,Galium boreale,Rubiaceae,GALBOR,native,10,0,forb,perennial,northern bedstraw
Symphyotrichum lateriflorum,4,Galium circaezans,Rubiaceae,GALCIR,native,5,1,forb,perennial,licorice bedstraw
Symphyotrichum lateriflorum,4,Galium concinnum,Rubiaceae,GALCON,native,7,1,forb,perennial,shining bedstraw
Symphyotrichum lateriflorum,4,Galium mollugo,Rubiaceae,GALMOL,non-native,0,2,forb,perennial,white bedstraw
Symphyotrichum lateriflorum,4,Galium obtusum,Rubiaceae,GALOBT,native,5,-1,forb,perennial,blunt-leaf bedstraw
Symphyotrichum lateriflorum,4,Galium tinctorium,Rubiaceae,GALTIN,native,8,-2,forb,perennial,stiff marsh bedstraw
Symphyotrichum lateriflorum,4,Gaura biennis,Onagraceae,GAUBIE,native,2,1,forb,biennial,biennial beeblossom
Symphyotrichum lateriflorum,4,Gentiana alba,Gentianaceae,GENALB,native,9,1,forb,perennial,yellow gentian
Symphyotrichum lateriflorum,4,Gentiana andrewsii,Gentianaceae,GENAND,native,9,-1,forb,perennial,closed bottle gentian
Symphyotrichum lateriflorum,4,Gentianella quinquefolia ssp. occidentalis,Gentianaceae,GENQUI,native,8,0,forb,annual,agueweed
Symphyotrichum lateriflorum,4,Gentianopsis crinita,Gentianaceae,GENCRI,native,9,-2,forb,annual,greater fringed-gentian
Symphyotrichum lateriflorum,4,Geranium maculatum,Geraniaceae,GERMAC,native,5,1,forb,perennial,spotted cranes-bill
Symphyotrichum lateriflorum,4,Geum aleppicum,Rosaceae,GEUALE,native,3,-1,forb,perennial,yellow avens
Symphyotrichum lateriflorum,4,Geum canadense,Rosaceae,GEUCAN,native,1,0,forb,perennial,white avens
Symphyotrichum lateriflorum,4,Geum laciniatum,Rosaceae,GEULAC,native,3,-1,forb,perennial,rough avens
Symphyotrichum lateriflorum,4,Glechoma hederacea,Lamiaceae,GLEHED,non-native,0,1,forb,perennial,groundivy
Symphyotrichum lateriflorum,4,Gleditsia triacanthos,Fabaceae,GLETRI,native,1,1,tree,perennial,honey-locust
Symphyotrichum lateriflorum,4,Glyceria canadensis,Poaceae,GLYCAN,native,10,-2,grass,perennial,rattlesnake manna grass
Symphyotrichum lateriflorum,4,Glyceria septentrionalis,Poaceae,GLYSEP,native,8,-2,grass,perennial,floating manna grass
Symphyotrichum lateriflorum,4,Glyceria striata,Poaceae,GLYSTR,native,4,-2,grass,perennial,fowl manna grass
Symphyotrichum lateriflorum,4,Hackelia virginiana,Boraginaceae,HACVIR,native,1,1,forb,perennial,beggars-lice
Symphyotrichum lateriflorum,4,Hedeoma hispida,Lamiaceae,HEDHIS,native,2,2,forb,annual,rough pennyroyal
Symphyotrichum lateriflorum,4,Helenium autumnale,Asteraceae,HELAUT,native,5,-1,forb,perennial,fall sneezeweed
Symphyotrichum lateriflorum,4,Helianthus grosseserratus,Asteraceae,HELGRO,native,4,-1,forb,perennial,saw-tooth sunflower
Symphyotrichum lateriflorum,4,Helianthus maximilianii,Asteraceae,HELMAX,non-native,0,2,forb,perennial,maximilians sunflower
Symphyotrichum lateriflorum,4,Helianthus strumosus,Asteraceae,HELSTR,native,5,2,forb,perennial,pale-leaf woodland sunflower
